ID,Quote Text,Response Text,Text
GEN_sarc_1529,Ok? There has also been a breakout in my high school locker room. What is your point?,"Really? Is it of the flesh eating variety that is resistant to all but the strongest antibiotics? Because if so, then that is big news.","Ok? There has also been a breakout in my high school locker room. What is your point?Really? Is it of the flesh eating variety that is resistant to all but the strongest antibiotics? Because if so, then that is big news."
GEN_sarc_1530,There is nothing at all absurd about this take. The Gay agenda has been to normalize homosexuality and what better way to do it than to indoctrinate the young and desensitize them to the negatives of the lifestyle while they're still impressionable. That way they know that within 20 years they will have normalized this abnormal lifestyle.,"You forgot about the youth recruitment efforts as well. I am president of the local chapter of ""Get 'Em While They're Young."" Our mission (agenda, if you will) is to recruit and convert the kids in an effort to increase the prevalence of homosexuality to 20% by 2015, then 51% by mid-century when we will have total control, muahahahahaha!!!","There is nothing at all absurd about this take. The Gay agenda has been to normalize homosexuality and what better way to do it than to indoctrinate the young and desensitize them to the negatives of the lifestyle while they're still impressionable. That way they know that within 20 years they will have normalized this abnormal lifestyle.You forgot about the youth recruitment efforts as well. I am president of the local chapter of ""Get 'Em While They're Young."" Our mission (agenda, if you will) is to recruit and convert the kids in an effort to increase the prevalence of homosexuality to 20% by 2015, then 51% by mid-century when we will have total control, muahahahahaha!!!"
GEN_sarc_1531,"Yeah, I know, the vast majority of the founding fathers and over 80% of all Americans are deluded, and you secularists are the only ones who know the real truth.","No, we don't claim to know the truth. We gladly say ""we don't know"" to questions like ""why are we here"" instead of making up fairy tale answers just because we're too impatient to look for the truth. Tell us, do you still believe in the fire god and the tooth fairy too?","Yeah, I know, the vast majority of the founding fathers and over 80% of all Americans are deluded, and you secularists are the only ones who know the real truth.No, we don't claim to know the truth. We gladly say ""we don't know"" to questions like ""why are we here"" instead of making up fairy tale answers just because we're too impatient to look for the truth. Tell us, do you still believe in the fire god and the tooth fairy too?"
GEN_sarc_1532,Now you've gone and done it...done it...done it. You're you're repeating repeating yourself yourself again again.....and again,I've got to concentrate...concentrate...concentrate. I've got to concentrate...concentrate...concentrate...Hello?.. .Hello?...Hello? Echo...Echo...Echo...Pinch hitting for Pedro Colon...Manny Mota...Mota...Mota...,Now you've gone and done it...done it...done it. You're you're repeating repeating yourself yourself again again.....and againI've got to concentrate...concentrate...concentrate. I've got to concentrate...concentrate...concentrate...Hello?.. .Hello?...Hello? Echo...Echo...Echo...Pinch hitting for Pedro Colon...Manny Mota...Mota...Mota...
GEN_sarc_1533,Yes they are... the fact that most if not all graduated college and excelled in the cut throat journalism field is all a misnomer. Fact is they got the job because they're blonde and are dumb enough to repeat the right wing talking points...right? emoticonXFrazzled,The fact they are blond has nothign to do with the fact they are dumb. The right wing mindless talking points from Fox News is another matter.,Yes they are... the fact that most if not all graduated college and excelled in the cut throat journalism field is all a misnomer. Fact is they got the job because they're blonde and are dumb enough to repeat the right wing talking points...right? emoticonXFrazzledThe fact they are blond has nothign to do with the fact they are dumb. The right wing mindless talking points from Fox News is another matter.
GEN_sarc_1534,"My two cents, Socialist: I think we've been duped by a troll. Ignoring trolls usually works well. If they are not trolls, then ignoring them may give them the time to focus and actually respond to some of the posts in an intelligent manner.","I'm not a ""TROLL"" unless of course disagreeing or believing differently from you makes me one. If so then I wear the title with pride.","My two cents, Socialist: I think we've been duped by a troll. Ignoring trolls usually works well. If they are not trolls, then ignoring them may give them the time to focus and actually respond to some of the posts in an intelligent manner.I'm not a ""TROLL"" unless of course disagreeing or believing differently from you makes me one. If so then I wear the title with pride."
GEN_sarc_1535,"Actually that's not what he said, but if we are going to bring it to gay relationships I've yet to see homosexuals campaign against heterosexual relations. I have the other way round.",EasyRider just doesn't like gay men trying to shove it down his throat! emoticonXAngel,"Actually that's not what he said, but if we are going to bring it to gay relationships I've yet to see homosexuals campaign against heterosexual relations. I have the other way round.EasyRider just doesn't like gay men trying to shove it down his throat! emoticonXAngel"
GEN_sarc_1536,Did you read your own post? Perhaps you should admit to being mentally ill because at least that's not your own fault. This is just creepy.,He has a persecution complex. He thinks that every intelligent white male is out to put chains on him and make him sing Gospel songs. ;),Did you read your own post? Perhaps you should admit to being mentally ill because at least that's not your own fault. This is just creepy.He has a persecution complex. He thinks that every intelligent white male is out to put chains on him and make him sing Gospel songs. ;)
GEN_sarc_1537,"1. Exactly so, since the choice of whether or not to accept the hypothesis that a fetus is sentient is very much a mater of discussion among those with the knowledge that gives their opinions weight...",So if it was deemed by 'those with the knowledge that give their opinion weight' that a fetus can feel pain and stress during a termination you would agree that the termination should not be carried out..well done  ,"1. Exactly so, since the choice of whether or not to accept the hypothesis that a fetus is sentient is very much a mater of discussion among those with the knowledge that gives their opinions weight...So if it was deemed by 'those with the knowledge that give their opinion weight' that a fetus can feel pain and stress during a termination you would agree that the termination should not be carried out..well done  "
GEN_sarc_1538,If you are trying to hurt my feelings you are gonna have to do something besides insult democrats.,Just trying to bring some consistency to the debate. You love it when Democrats pander but not when Republicans do it. Why am I not surprised? ;)   ,If you are trying to hurt my feelings you are gonna have to do something besides insult democrats.Just trying to bring some consistency to the debate. You love it when Democrats pander but not when Republicans do it. Why am I not surprised? ;)   
GEN_sarc_1539,"I think he examined her record and the information by which some other doctor pronounced her PVS, noting that one or more criteria for establishment of that diagnosis was missing. I'm not arguing the case for him, I'm just saying she should be fed until this is proved wrong. The doctor is supposed to be quite an eminent member of his filed of study and may actually know what he is talking about.","Examined the record? Now it's not even the patient, just the record? Good god man! Many times, only a number of criteria must be met, not all of them. It would be like me saying that there must be gas in your car since it is running. Then you tell me that I must look at the gauge then physically take the tank off to be able to say without a doubt there is gas in it. Flat EEG in the cerebral cortex means no brain activity in cerebral cortex means PVS. There is no reason to test a swallowing reflex, a pain response reflex, or sphincter tone.   ","I think he examined her record and the information by which some other doctor pronounced her PVS, noting that one or more criteria for establishment of that diagnosis was missing. I'm not arguing the case for him, I'm just saying she should be fed until this is proved wrong. The doctor is supposed to be quite an eminent member of his filed of study and may actually know what he is talking about.Examined the record? Now it's not even the patient, just the record? Good god man! Many times, only a number of criteria must be met, not all of them. It would be like me saying that there must be gas in your car since it is running. Then you tell me that I must look at the gauge then physically take the tank off to be able to say without a doubt there is gas in it. Flat EEG in the cerebral cortex means no brain activity in cerebral cortex means PVS. There is no reason to test a swallowing reflex, a pain response reflex, or sphincter tone.   "
GEN_sarc_1540,"Is ""cognitive dissonance"" a sin?And, what if one suffers from inherent ""cognitive dissonance""?",Simone: I'm a chronic sufferer: I thought of asking Easyrider for a prescription.,"Is ""cognitive dissonance"" a sin?And, what if one suffers from inherent ""cognitive dissonance""?Simone: I'm a chronic sufferer: I thought of asking Easyrider for a prescription."
GEN_sarc_1541,I would have to say that whoever told you about 'macro-evoution' from a science perspective obviously did not explain things properly. It sounds like your 'science advice' was either misunderstood or the advice was 'stacked'.,"Actually what sank that debate was a bunch of paleontologists from K state who started arguing for punctuated equilibrium. That was pretty much the end. I remember one board member was quoted as saying ""These are public schools. We are luck if we can teach the kids to read""","I would have to say that whoever told you about 'macro-evoution' from a science perspective obviously did not explain things properly. It sounds like your 'science advice' was either misunderstood or the advice was 'stacked'.Actually what sank that debate was a bunch of paleontologists from K state who started arguing for punctuated equilibrium. That was pretty much the end. I remember one board member was quoted as saying ""These are public schools. We are luck if we can teach the kids to read"""
GEN_sarc_1542,"You should go back and learn the truth about the Crusades!* Crusade Myths THOMAS F. MADDEN What is the real story of the Crusades? As you might imagine, it is a long story. But there are good histories, written in the last twenty years, that lay much of it out. For the moment, given the barrage of coverage that the Crusades are getting nowadays, it might be best to consider just what the Crusades were not. Here, then, are some of the most common myths and why they are wrong. Source:: Click HERE",From the Catholic Educators Resource Center...Yeah...I am sure there would be no myths in there...sure you're right. emoticonXRolleyes,"You should go back and learn the truth about the Crusades!* Crusade Myths THOMAS F. MADDEN What is the real story of the Crusades? As you might imagine, it is a long story. But there are good histories, written in the last twenty years, that lay much of it out. For the moment, given the barrage of coverage that the Crusades are getting nowadays, it might be best to consider just what the Crusades were not. Here, then, are some of the most common myths and why they are wrong. Source:: Click HEREFrom the Catholic Educators Resource Center...Yeah...I am sure there would be no myths in there...sure you're right. emoticonXRolleyes"
GEN_sarc_1543,"Kronus: First guess: photoshopSecond guess: model (plaster, foam rubber, etc)...18th guess: Actual birth defectsCheck snopes in a couple of weeks on this one.",I think it's a pretty neat trick for a dead baby to sit upright in that little tub.,"Kronus: First guess: photoshopSecond guess: model (plaster, foam rubber, etc)...18th guess: Actual birth defectsCheck snopes in a couple of weeks on this one.I think it's a pretty neat trick for a dead baby to sit upright in that little tub."
GEN_sarc_1544,but it's hard to tell which he's trying to do when you can't tell the difference between brilliance and BS.,"with you it's pretty easy, we just assume it's all BS, works every time.","but it's hard to tell which he's trying to do when you can't tell the difference between brilliance and BS.with you it's pretty easy, we just assume it's all BS, works every time."
GEN_sarc_1545,"It is difficult, considering anywhere from 5 to 15 or even 20 ""rationalists"" will go into a posting frenzy against one creationist quite often at these forums. Can't just one do the job?",Yes but its like sharks when there is blood in the water. Plus I at least do this for fun and why should I not get in my own ideas and have my fun with creationists. They are getting pretty rare you know. Can't let those other rationalists keep them all to themselves. emoticonXAgree   ,"It is difficult, considering anywhere from 5 to 15 or even 20 ""rationalists"" will go into a posting frenzy against one creationist quite often at these forums. Can't just one do the job?Yes but its like sharks when there is blood in the water. Plus I at least do this for fun and why should I not get in my own ideas and have my fun with creationists. They are getting pretty rare you know. Can't let those other rationalists keep them all to themselves. emoticonXAgree   "
GEN_sarc_1546,"Where are the WMD's ?Where was the tie to Al qaeda ?Why has the motivation for the loss of over 1600 young people become "" Bringing Democracy to Iraq ?","Why did the president have to lie. Kerry served, Bu$h just helped himself to the cocaine.","Where are the WMD's ?Where was the tie to Al qaeda ?Why has the motivation for the loss of over 1600 young people become "" Bringing Democracy to Iraq ?Why did the president have to lie. Kerry served, Bu$h just helped himself to the cocaine."
GEN_sarc_1547,"Among other things, the newborn must obtain its own oxygen and its own nourishment. It must also transition from an aquatic environment to an aerobic one.","So, if a baby is having trouble breathing that's been born already, you don't consider it a 'person'? Methinks you've not thought through the implications of your argument here at all.","Among other things, the newborn must obtain its own oxygen and its own nourishment. It must also transition from an aquatic environment to an aerobic one.So, if a baby is having trouble breathing that's been born already, you don't consider it a 'person'? Methinks you've not thought through the implications of your argument here at all."
GEN_sarc_1548,"Once a person's dead they're dead. It's nice, but if you can't afford it, why bankroll a cremation or burial? With growing numbers of bodies and the associated public health risks around disease, this is one more example of how the state will increasingly find themselves in a bind over health care for all.","Um, of course, it was too much to expect murderers to shell out for burying their victims. I keep forgetting I'm in Dick Cheney's America.","Once a person's dead they're dead. It's nice, but if you can't afford it, why bankroll a cremation or burial? With growing numbers of bodies and the associated public health risks around disease, this is one more example of how the state will increasingly find themselves in a bind over health care for all.Um, of course, it was too much to expect murderers to shell out for burying their victims. I keep forgetting I'm in Dick Cheney's America."
GEN_sarc_1549,"PZ just happened to write a post on his blog today about the ""interpretation"" argument creationists have been peddling a lot lately, and the very end happens to mention the RATE project, actually. The final paragraph sums up just how dumb the conclusions are:","I can see that you're as impressed by PZs propaganda as an infant is with a pacifier Collin, but I'm not. emoticonXFrazzled emoticonXBye","PZ just happened to write a post on his blog today about the ""interpretation"" argument creationists have been peddling a lot lately, and the very end happens to mention the RATE project, actually. The final paragraph sums up just how dumb the conclusions are:I can see that you're as impressed by PZs propaganda as an infant is with a pacifier Collin, but I'm not. emoticonXFrazzled emoticonXBye"
GEN_sarc_1550,If they were of no concern to you you would not reply to them. The fact you do reply to them and in doing so deny them amuses me greatly.,I reply to them out of courtesy...but be amused all you want...it looks like you need it.,If they were of no concern to you you would not reply to them. The fact you do reply to them and in doing so deny them amuses me greatly.I reply to them out of courtesy...but be amused all you want...it looks like you need it.
GEN_sarc_1551,"That is between them and God. They have not done so, and I suspect that their interpretation of 'The great commissoin' is much different than yours.You, after all, reject anybody who doesn't believe the way you do.","Look who's talking.   Besides, it's a free country. It's not ""Politically Correct Treborville"" that we're playing here.","That is between them and God. They have not done so, and I suspect that their interpretation of 'The great commissoin' is much different than yours.You, after all, reject anybody who doesn't believe the way you do.Look who's talking.   Besides, it's a free country. It's not ""Politically Correct Treborville"" that we're playing here."
GEN_sarc_1552,I am a dirty little democratic liberal for those that care.,Actually that was obvious based on your type of irrational reasoning.  ,I am a dirty little democratic liberal for those that care.Actually that was obvious based on your type of irrational reasoning.  
GEN_sarc_1553,"Are you arguing with me?How dare you come to my thread and spout off. How inconsiderate. Do you know who you're talking to? Have you no propriety? If you need to be reminded, when you read one of my threads you are expected to read it, learn from it, and, above all, SHUT UP!",I avert your gaze. I submit myself to your mercy. Henceforth I shall only respond to your web postings. I shall not respond to postings you make on the web....Wait.....  ,"Are you arguing with me?How dare you come to my thread and spout off. How inconsiderate. Do you know who you're talking to? Have you no propriety? If you need to be reminded, when you read one of my threads you are expected to read it, learn from it, and, above all, SHUT UP!I avert your gaze. I submit myself to your mercy. Henceforth I shall only respond to your web postings. I shall not respond to postings you make on the web....Wait.....  "
GEN_sarc_1554,"Creationists claim that if we teach our children that they are descended from animals, then they will learn to treat each other like animals. My question is, if we teach them that they come from dirt, how will they learn to treat each other?",LOL. Glad he didn't come across a dung pile while he was fashioning us.,"Creationists claim that if we teach our children that they are descended from animals, then they will learn to treat each other like animals. My question is, if we teach them that they come from dirt, how will they learn to treat each other?LOL. Glad he didn't come across a dung pile while he was fashioning us."
GEN_sarc_1555,When has anyone but a rightist extremist or a dittohead claimed messiahhood for Obama? emoticonXRolleyes,"Well, if you claim you can give 95% of Americans a tax cut then you'd have to be on par with Jesus.","When has anyone but a rightist extremist or a dittohead claimed messiahhood for Obama? emoticonXRolleyesWell, if you claim you can give 95% of Americans a tax cut then you'd have to be on par with Jesus."
GEN_sarc_1556,"I have been in several 3rd world countries, and I have never once seen a case where someone would be killed if they didn't convert to Christianity, or even if they did convert from Christianity to Islam. On the other hand, I have seen a number of cases where Muslim family members who converted to Christianity had to flee their family out of fear of death. I would be very interested in reading about or hearing about cases where the reverse is true, but I don't think there are many such cases out there. The issue of witchcraft among Christian churches may be an exception at least to the degree of people and children being ostracized.","The Pastors are claiming themselves as a ""Spiritual shield"" against witchcraft. Of course you don't need such a shield until you find a witch, guess what happens next.","I have been in several 3rd world countries, and I have never once seen a case where someone would be killed if they didn't convert to Christianity, or even if they did convert from Christianity to Islam. On the other hand, I have seen a number of cases where Muslim family members who converted to Christianity had to flee their family out of fear of death. I would be very interested in reading about or hearing about cases where the reverse is true, but I don't think there are many such cases out there. The issue of witchcraft among Christian churches may be an exception at least to the degree of people and children being ostracized.The Pastors are claiming themselves as a ""Spiritual shield"" against witchcraft. Of course you don't need such a shield until you find a witch, guess what happens next."
